epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,539.458,1.67345,3.23318,1.73153,0.48834,0.45401,0.51848,0.26578,1.61954,3.69069,1.86892,0.000412844,0.000412844,0.000412844
2,1077.22,1.5931,2.2864,1.63999,0.67347,0.42849,0.47075,0.23643,1.80049,2.97102,1.85515,0.000774763,0.000774763,0.000774763
3,1611.35,1.62174,1.94382,1.62033,0.7488,0.60026,0.67772,0.37648,1.62108,2.04632,1.72582,0.00108168,0.00108168,0.00108168
4,2143.88,1.55531,1.65961,1.56766,0.75073,0.62828,0.69097,0.38723,1.56418,1.84203,1.69467,0.0010025,0.0010025,0.0010025
5,2677.14,1.51994,1.50028,1.54936,0.72746,0.72808,0.75874,0.40737,1.58763,1.5814,1.78037,0.00092,0.00092,0.00092
6,3207.97,1.55439,1.40642,1.66922,0.59916,0.63797,0.61365,0.30819,1.74705,1.84813,1.81068,0.0008375,0.0008375,0.0008375
7,3739.42,1.51416,1.23418,1.63807,0.79954,0.73383,0.78997,0.44297,1.52433,1.28886,1.63639,0.000755,0.000755,0.000755
8,4270.59,1.47665,1.12849,1.58782,0.86419,0.76071,0.84725,0.49297,1.46618,1.16828,1.56546,0.0006725,0.0006725,0.0006725
9,4802.28,1.43118,1.02761,1.55101,0.84721,0.79463,0.8627,0.50764,1.47195,1.07149,1.55273,0.00059,0.00059,0.00059
10,5333.52,1.40666,0.96322,1.53665,0.88131,0.81069,0.86315,0.51652,1.43874,1.02124,1.53116,0.0005075,0.0005075,0.0005075
11,5864.86,1.37467,0.91976,1.52435,0.89821,0.82175,0.87725,0.51387,1.47987,0.98031,1.55763,0.000425,0.000425,0.000425
12,6396.27,1.34702,0.85945,1.49292,0.89338,0.83659,0.89413,0.53287,1.46798,0.91415,1.5485,0.0003425,0.0003425,0.0003425
13,6927.85,1.32009,0.80745,1.4505,0.88639,0.85096,0.8937,0.54584,1.42595,0.8859,1.51908,0.00026,0.00026,0.00026
14,7459.43,1.29424,0.75606,1.44398,0.87435,0.85439,0.8904,0.54684,1.43585,0.85961,1.52097,0.0001775,0.0001775,0.0001775
15,7991.6,1.26325,0.72592,1.42165,0.87319,0.85057,0.88768,0.55064,1.42673,0.85557,1.50913,9.5e-05,9.5e-05,9.5e-05
